region,Folkökning 1968,Folkökning 1969,Folkökning 1970,Folkökning 1971,Folkökning 1972,Folkökning 1973,Folkökning 1974,Folkökning 1975,Folkökning 1976,Folkökning 1977,Folkökning 1978,Folkökning 1979,Folkökning 1980,Folkökning 1981,Folkökning 1982,Folkökning 1983,Folkökning 1984,Folkökning 1985,Folkökning 1986,Folkökning 1987,Folkökning 1988,Folkökning 1989,Folkökning 1990,Folkökning 1991,Folkökning 1992,Folkökning 1993,Folkökning 1994,Folkökning 1995,Folkökning 1996,Folkökning 1997,Folkökning 1998,Folkökning 1999,Folkökning 2000,Folkökning 2001,Folkökning 2002,Folkökning 2003,Folkökning 2004,Folkökning 2005,Folkökning 2006,Folkökning 2007,Folkökning 2008,Folkökning 2009,Folkökning 2010,Folkökning 2011,Folkökning 2012,Folkökning 2013,Folkökning 2014,Folkökning 2015,Folkökning 2016,Folkökning 2017,Folkökning 2018,Folkökning 2019,Folkökning 2020,Folkökning 2021
01 Stockholms län,..,26518,24236,8658,-993,-68,3557,4402,7322,11311,6935,5152,3934,7339,8915,6711,11325,15809,15034,12824,10881,12593,12038,12842,15329,16390,22272,17254,18574,18594,20516,19937,19833,15672,11585,10405,12028,17045,28159,31412,31747,37919,35161,37130,35533,36036,35002,33395,37621,39083,35981,32957,14909,23149
03 Uppsala län,..,4212,4007,3176,2860,2726,2178,1348,3087,2976,2999,2632,1863,1813,1670,1035,1609,2140,3086,2801,2737,4262,4097,5083,4692,4396,3636,1833,678,1320,940,1002,1781,2431,2028,1840,2069,1803,1924,3345,3918,4710,3984,2748,3347,3504,3461,5222,7209,7598,7383,7359,4681,6632
04 Södermanlands län,..,3411,3069,284,-145,633,1543,1186,83,-63,134,-41,510,-345,-581,-610,-485,-814,-222,594,1350,1940,2273,1182,1040,1341,594,-1093,-1317,-513,-601,-379,143,1187,1786,1374,690,825,1204,2091,2334,1529,1685,1825,2160,2846,3097,3046,4385,3244,3354,2845,1861,2400
05 Östergötlands län,..,4137,4238,1350,1078,705,204,1076,2343,1906,720,333,399,-95,-480,96,577,698,1168,827,1339,2587,3505,3089,2168,2944,4391,840,-784,-1299,-1949,-1091,25,1018,1075,1459,1093,313,1663,2843,2360,3937,2536,1433,2709,4064,4257,3556,6444,5391,4087,3912,1663,2546
06 Jönköpings län,..,3396,2281,175,1184,701,1709,710,735,1360,12,766,1128,-246,-782,-229,-12,35,687,1192,1835,2826,2098,1490,199,1068,1486,189,-869,-658,-9,-793,563,-5,147,688,638,882,1360,2071,1636,798,822,1030,1220,2119,3027,3575,4898,4502,3588,2774,1411,2054
07 Kronobergs län,..,2531,1781,597,98,770,627,612,881,754,361,967,1290,478,-148,298,-54,-293,-119,263,1311,1162,1293,730,349,688,1098,-370,-722,-634,-943,-929,-510,-57,396,470,837,158,1192,1152,1437,938,778,714,1233,1269,1972,2241,3259,2891,2367,1583,794,1077
08 Kalmar län,..,1143,726,-373,-471,-93,308,329,245,568,-197,108,133,-483,-275,-689,-754,-1204,-759,-61,425,1783,1538,781,29,616,1529,-685,-1476,-1736,-2056,-1603,-1110,-694,-70,259,-390,-552,-168,58,-437,242,-103,-446,458,326,1724,2081,4622,1235,1134,776,564,1165
09 Gotlands län,..,101,-255,-2,85,145,224,226,221,170,144,326,85,277,274,90,216,-59,30,95,114,457,268,275,195,173,486,-117,-149,-180,-148,-215,-115,99,-31,154,126,-173,-191,-175,-118,217,48,39,-67,-80,94,136,612,592,654,437,438,877
10 Blekinge län,..,1708,1212,375,678,-4,510,192,-374,-397,-197,-233,-593,-914,-537,-207,-232,-693,-701,-658,-56,416,604,604,98,587,1163,-279,-765,-280,-278,-789,-233,-375,-142,14,446,361,740,464,359,332,636,-248,-664,442,1400,2096,2200,918,313,-78,-550,-119
12 Skåne län,..,11098,11944,7602,4842,3750,7738,4398,1540,3881,2217,2329,1429,151,1005,1179,1656,3024,3190,5866,7617,10848,10572,9638,8464,6678,12619,5745,2637,2235,3823,3360,5638,7147,8519,7607,8222,8545,15036,14857,15401,16304,12267,9604,10155,10981,14839,14719,20938,20124,17475,15663,11509,13089
13 Hallands län,..,3940,4509,3793,4428,4214,3828,3462,3205,2047,2143,2036,1713,1791,1624,1980,2028,1716,2187,2127,3040,3542,3766,3149,3298,3435,3460,1271,722,1265,1214,998,1467,1649,1898,2771,2466,2080,2991,2534,2179,3253,2659,2240,2392,2724,3825,4119,5549,4492,4527,4496,2900,3495
14 Västra Götalands län,..,16702,16810,6380,1781,2079,3384,4152,2017,2638,1042,1847,-254,-969,-536,-117,3067,3903,6381,7869,7582,12305,10034,6763,7589,8428,13297,5131,2513,597,1307,1791,5932,6216,7373,6762,6903,6560,9829,9014,10832,11328,10839,10307,9843,14637,16928,16670,23101,18999,19032,16067,8562,10416
17 Värmlands län,..,-616,647,-440,-569,-431,230,773,280,179,184,-277,-545,-895,-1060,-910,-706,-1316,-322,541,1292,1681,735,1077,504,529,278,-1487,-1864,-1969,-1865,-1713,-1597,-1070,-514,144,-16,-259,201,337,-452,-117,8,-529,344,735,876,1213,3430,1065,1083,932,471,311
18 Örebro län,..,1923,1703,-288,-972,-669,43,319,-104,388,61,-45,133,-644,-584,-990,-1177,-750,-591,-279,690,1492,990,1095,717,1207,1296,-411,-562,-692,-579,-762,-207,-478,275,523,-15,201,909,1037,1665,1150,1348,1342,1541,2282,2755,2862,3929,3966,3345,2553,838,1149
19 Västmanlands län,..,3314,2800,1100,-1519,-1099,58,-211,243,166,-638,-22,-132,-972,-783,-807,-1285,-930,-338,-170,594,1663,1977,951,658,836,821,-652,-1114,-1446,-880,-760,-12,1068,955,1222,871,386,732,704,781,1379,1403,1501,1967,2830,2649,2573,3353,3466,2834,1916,1296,1826
20 Dalarnas län,..,-909,-1031,228,169,651,1055,1950,2241,684,456,1055,1423,-486,-204,-668,-497,-1233,-689,139,1077,2260,2400,1321,-143,270,688,-1247,-1785,-2939,-2334,-2323,-2316,-1249,-374,-116,-478,-287,-44,-93,249,587,593,-482,-10,794,1554,2125,3503,1634,1026,775,-290,711
21 Gävleborgs län,..,-1067,694,145,-679,-901,739,1652,215,-215,-124,-329,61,-363,-934,-1226,-964,-1380,-1462,-784,97,1219,1071,45,-149,422,42,-1145,-1720,-2153,-2410,-1509,-1455,-1091,-1159,-146,-267,-605,-341,-97,352,312,288,-378,507,1333,2021,1824,2771,1051,910,835,120,265
22 Västernorrlands län,..,-2157,44,279,-62,-347,335,426,203,120,-247,-215,40,-820,-1077,-1235,-1205,-1284,-1225,-757,-368,524,667,125,-451,-262,-272,-2005,-1703,-2233,-2470,-2585,-2396,-1825,-759,-214,90,-459,242,-529,-77,-330,-417,-470,-174,175,905,836,1675,396,-515,-106,-793,-361
23 Jämtlands län,..,-2237,-1147,543,420,290,502,389,319,437,231,233,281,11,-80,81,-215,-541,-647,-154,727,673,937,283,-99,163,228,-717,-1023,-1418,-1377,-1061,-1139,-980,-639,-302,-221,-396,-8,-83,-40,-231,25,-392,-98,260,304,611,1297,1133,474,530,345,899
24 Västerbottens län,..,-904,-410,-277,497,512,1010,1522,1308,1542,1354,1297,1958,933,266,197,-71,74,-51,499,1818,2613,1834,1867,2152,2184,1604,697,-577,-732,-1360,-1093,-1070,-822,412,726,919,777,-71,12,219,736,738,381,550,895,1250,1016,2503,2584,1689,1582,1456,1371
25 Norrbottens län,..,-3167,-986,718,1254,1735,2481,2838,1727,485,-269,654,71,-465,-1242,-890,-773,-1384,-1261,-206,703,1302,897,1099,1255,1003,556,-1637,-1691,-2003,-1844,-2379,-1856,-1505,-1101,-758,-289,-845,146,-1284,-925,-658,-410,-64,92,799,551,-254,837,725,-798,-404,-479,79
